Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided,Submitted via,Date sent to company?,Company response to consumer,Timely response?,Consumer disputed,Complaint ID
04/08/2017,Consumer Loan,Vehicle lease,Taking out the loan or lease,,I have leased a vehicle XX/XX/2015 from an authorized dealer in the state of Nevada for a lease purchase of XX/XX/2015 XXXX XXXX for the total amount {$63000.00} and the lease for 39 months payments payment amount each month {$980.00}. After one year making payments requested a buy-out amount and the information received for the buy-out total {$63000.00}. I called Ally auto asking why is the buy-out same the original purchase price? There answer was the payment paid does not deduct from the lease amount. This was surprise to me and the lease residual is at 49 % of the purchase price which the lease payment considered as a rent payment. I 've had leases with other banks and never experienced this before which each payment you make it does deduct from the purchase price. Ally is refusing to correct based on the guidelines and lease practices. I am not able to exchange the car for a better lease terms and by trading the car for another lease loan I will be in upside down situation. Could you please help with this matter?,Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,CA,926XX,,Consent provided,Web,04/08/2017,Closed with explanation,Yes,No,2426136
04/18/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,BBVA COMPASS FINANCIAL CORPORATION,MA,02151,,N/A,Referral,04/18/2017,Closed with monetary relief,Yes,No,2439654
03/02/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Dovenmuehle Mortgage, Inc.",CT,06360,,N/A,Phone,03/06/2017,Closed with explanation,Yes,No,2369802
04/07/2017,Credit card,,Billing disputes,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,TX,79607,Servicemember,Consent not provided,Web,04/07/2017,Closed with explanation,Yes,No,2423941
04/09/2017,Credit card,,Bankruptcy,,,,DISCOVER BANK,AZ,85139,,,Web,04/09/2017,Closed with explanation,Yes,No,2426593
02/28/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,,,"EXPERT GLOBAL SOLUTIONS, INC.",,,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2364897
04/20/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,212XX,,,Web,04/20/2017,In progress,Yes,No,2443787
04/15/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,NC,,,Consent not provided,Web,04/17/2017,Closed with explanation,Yes,No,2436823
04/18/2017,Bank account or service,Savings account,"Account opening, closing, or management",,,Company believes complaint is the result of an isolated error,UNITED SERVICES AUTOMOBILE ASSOCIATION,NY,11967,,N/A,Referral,04/18/2017,Closed with explanation,Yes,No,2441457
07/06/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,FL,34714,,N/A,Web,07/06/2014,Closed with explanation,Yes,Yes,924254
04/18/2017,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,Senex Services Corp.,IN,46235,,,Web,04/18/2017,Untimely response,No,No,2438909
03/04/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,CAPITAL ONE FINANCIAL CORPORATION,MD,20852,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371846
03/04/2017,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,"EQUIFAX, INC.",GA,30122,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,Yes,2371764
04/18/2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,Resurgent Capital Services L.P.,FL,33614,,,Web,04/18/2017,Closed with explanation,Yes,No,2441095
04/29/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NV,89031,,Consent not provided,Web,04/29/2016,Closed with explanation,Yes,No,1901482
04/04/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",IN,46226,,N/A,Phone,04/04/2017,Closed with non-monetary relief,Yes,No,2416121
03/31/2017,Debt collection,I do not know,Disclosure verification of debt,Right to dispute notice not received,,Company believes it acted appropriately as authorized by contract or law,Source Receivables Management LLC,IN,47807,,Consent not provided,Web,05/03/2017,Closed with explanation,Yes,No,2414034
04/19/2017,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,"HUNTINGTON NATIONAL BANK, THE",OH,433XX,,,Web,04/19/2017,In progress,Yes,No,2441788
03/31/2017,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,"In XX/XX/2005 I obtained a home equity mortgage loan for {$46000.00} limit. I have been making all payments as required by EFT until the lender stopped taking the payments. I now believe the term of 10 years was apparently up. The lender now reports my loan delinquent which completely prevents me from refinancing. There were no warning signs along the way to let me know I would have to refinance or make other arrangements. The lender is now initiating foreclosure which I see as a way for them to steal my home legally.
A should offer to reschedule or refinance the balance of {$23000.00} so I can resume payments.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MP,554XX,,Consent provided,Web,04/03/2017,Closed with explanation,Yes,No,2412732
04/20/2017,Bank account or service,Checking account,Deposits and withdrawals,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92408,,N/A,Referral,04/21/2017,In progress,Yes,No,2444312
04/18/2017,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,FIFTH THIRD FINANCIAL CORPORATION,GA,302XX,,,Web,04/18/2017,Closed with non-monetary relief,Yes,No,2441323
04/21/2017,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,ZIONS BANCORPORATION,AZ,852XX,,,Web,04/21/2017,Closed with monetary relief,Yes,No,2447348
02/06/2017,Consumer Loan,Installment loan,Managing the loan or lease,,"I have written to this company called Swiss Colony and disputed the item on my credit report and requested them to provide documentation bearing my signature associate with the account. They did not do so. I also let them know that the account may be fraudulent as well. I have an fraud alert on my credit files because of this company. I have looked at my credit report dated today ( XX/XX/2017 ) and before that date I did n't see the statement disputed by consumer in the remark area on my credit files. Instead in the remark area : Profit and loss write off. This statement is in the remark area. This company has broken the law called FCRA because they failed to place the statement : "" disputed by consumer, '' and I do want the company to delete the entry from my credit files. I have requested this company to provide proof of any documentations bearing my signature with this account. They failed to do so with that being said I want the entry to be deleted immediately.",,"Colony Brands, Inc.",NC,278XX,,Consent provided,Web,03/04/2017,Untimely response,No,No,2329445
04/07/2017,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,CARRINGTON MORTGAGE SERVICES,FL,33441,,N/A,Phone,04/07/2017,Closed with explanation,Yes,No,2424946
04/17/2017,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",PA,193XX,Older American,,Web,04/18/2017,Closed with explanation,Yes,No,2437750
03/28/2017,Credit card,,Payoff process,,,,CAPITAL ONE FINANCIAL CORPORATION,MN,554XX,,,Web,03/28/2017,Closed with explanation,Yes,No,2406906
03/30/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",SC,292XX,Servicemember,,Web,04/26/2017,In progress,Yes,No,2410915
03/16/2017,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,Company believes the complaint is the result of a misunderstanding,MORTGAGE 4 U LLC,VA,20176,,Consent not provided,Web,04/19/2017,Closed with explanation,Yes,No,2390487
04/20/2017,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,TRANSWORLD SYSTEMS INC,FL,330XX,,,Web,04/20/2017,Closed with explanation,Yes,No,2444869
04/19/2017,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",GA,300XX,,,Web,04/19/2017,Closed with monetary relief,Yes,No,2442124
04/10/2017,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"ONE REVERSE MORTGAGE, LLC",NJ,08832,Older American,N/A,Phone,04/10/2017,Closed with explanation,No,No,2428039
04/21/2017,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,,,"AR Resources, Inc.",FL,322XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2445935
06/28/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Threatened to sue on too old debt,,,Resurgent Capital Services L.P.,MI,48219,,N/A,Referral,06/29/2016,Closed with explanation,Yes,No,1989521
03/04/2017,Student loan,Federal student loan servicing,Can't repay my loan,Can't get flexible payment options,"I filed for chapter XXXX bankruptcy XX/XX/2011. I did go to school after filing. Notice of filing was provided to the Federal Loan employees when they called every week. They have continued to report late history on my credit report. A call was placed to them two weeks ago to address the issue with reporting negative payments. The rep stated they would correct as payments should have not been reported. When the reports were checked, it was noted that the accounts were reported as current under negative account information on XXXX, and showing 11 missed payments for the past two years on XXXX and XXXX reports. They should not be reporting negatively to any credit bureaus due to the active bankruptcy. The information should also be reported under the correct sections of the credit file. I am asking that the company report the information accurately on all the credit files as it has really added to the negative standard of my credit score",,AES/PHEAA,TN,381XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,No,2371677
04/17/2017,Prepaid card,General purpose card,"Managing, opening, or closing account",,,Company believes it acted appropriately as authorized by contract or law,NETSPEND CORPORATION,TX,76053,,N/A,Phone,04/18/2017,Closed with explanation,Yes,No,2438333
04/18/2017,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ditech Financial LLC,MD,21157,,,Web,04/18/2017,Closed with explanation,Yes,No,2440817
07/18/2013,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,"APEX Asset Management, LLC",NJ,08031,,N/A,Web,08/23/2013,Closed,No,No,460443
04/03/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",IA,511XX,,,Web,04/03/2017,Closed with explanation,Yes,No,2416355
01/04/2015,Consumer Loan,Installment loan,Managing the loan or lease,,,,SYNCHRONY BANK,NJ,08901,,N/A,Web,01/08/2015,Closed with monetary relief,Yes,No,1179936
03/02/2015,Debt collection,Non-federal student loan,Disclosure verification of debt,Not disclosed as an attempt to collect,,,Law Offices of Goldsmith & Hull A.P.C.,CA,90008,,N/A,Postal mail,03/09/2015,Closed with explanation,No,No,1263989
11/25/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,RR Resource-Recovery,NY,13760,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2223190
04/07/2017,Consumer Loan,Vehicle loan,Managing the loan or lease,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,TN,37650,,N/A,Referral,04/07/2017,Closed with explanation,Yes,No,2425260
04/04/2017,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,GA,30047,,Consent not provided,Web,04/04/2017,Closed with explanation,Yes,No,2417442
04/06/2017,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,11226,,Consent not provided,Web,04/06/2017,Closed with explanation,Yes,No,2422048
04/18/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91941,,N/A,Postal mail,04/19/2017,In progress,Yes,No,2439541
04/18/2017,Money transfers,Domestic (US) money transfer,Money was not available when promised,,,,PNC Bank N.A.,WA,98122,,,Web,04/18/2017,In progress,Yes,No,2441469
04/15/2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,,,AES/PHEAA,TN,38016,,,Web,04/17/2017,Closed with non-monetary relief,Yes,No,2435011
03/04/2017,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,,,"EQUIFAX, INC.",NY,14610,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371598
03/22/2017,Credit reporting,,Incorrect information on credit report,Account terms,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,CA,93313,,Consent not provided,Web,03/22/2017,Closed with explanation,Yes,No,2397947
04/06/2017,Prepaid card,Mobile wallet,Fraud or scam,,,,Blackhawk Network Holdings Inc.,SC,292XX,,,Web,04/07/2017,Closed with explanation,Yes,No,2423435
04/18/2017,Credit card,,Credit determination,,,,JPMORGAN CHASE & CO.,MS,391XX,,,Web,04/19/2017,Closed with explanation,Yes,No,2440298
09/02/2014,Credit reporting,,Incorrect information on credit report,Public record,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33928,,N/A,Web,09/02/2014,Closed with explanation,Yes,No,1009652
04/04/2017,Bank account or service,Checking account,"Making/receiving payments, sending money",,"I have been deprived of my income as Bank of America continues disappearing my direct deposit payments. In addition to their incapacity to secure people 's money 's, they are massively in mature as they trivialize their failures sending me an email saying : We got your back Fraud protection is back '' They are all very damaged organization full of arrogance and the belief that they are above the law.
This is the fourth time I file a complaint against Bank of America and nothing happens to them. Had I done one inch of what they have done, I would have lost my license. How come they have more rights than the rest of the Americans? I I was supposed to receive moneys from XXXX {$290.00} on XX/XX/2017 and there is nothing in my account.
Whe is the Federal government act as as a protector of the citizens who work for a living rather than the arrogant corporations destroying the citizens?",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,024XX,,Consent provided,Web,04/04/2017,Closed with explanation,Yes,No,2419713
04/19/2017,Credit card,,Delinquent account,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",DC,20009,Servicemember,Consent not provided,Web,04/19/2017,Closed with non-monetary relief,Yes,No,2443056
03/21/2017,Credit reporting,,Incorrect information on credit report,Account terms,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,NY,11226,,Consent not provided,Web,03/21/2017,Closed with non-monetary relief,Yes,No,2397805
04/20/2017,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,JPMORGAN CHASE & CO.,CA,90220,,,Web,04/20/2017,Closed with monetary relief,Yes,No,2441543
04/18/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Don't agree with fees charged,,,"Navient Solutions, LLC.",CA,900XX,,,Web,04/18/2017,Closed with explanation,Yes,No,2441333
04/20/2017,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,IL,60130,,N/A,Referral,04/21/2017,In progress,Yes,No,2444064
04/05/2017,Bank account or service,Savings account,"Account opening, closing, or management",,"Ally Bank turned me down for deceased relative ( s ) debts. I owe no debts. Yet, the bank stated in their letter to me that since I have "" outstanding debts '' I was turned down for a 1 % online savings account. There is no need to refer this complaint to another agency, I think XXXX is a flawed system for banks to use, and very few do n't use that to check potential banking clients credit, check history.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,IL,600XX,,Consent provided,Web,04/05/2017,Closed with explanation,Yes,No,2420825
03/25/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Quality Recovery Services, Inc.",GA,30014,,N/A,Referral,03/29/2016,Closed with explanation,No,No,1849932
03/23/2017,Consumer Loan,Pawn loan,Applied for loan/did not receive money,,Several years ago I got a line of credit loan with Wachovia.They have since bin bought out by Wells Fargo.Years ago I applied to increase the amount.I was denied because my home does not rest on a permanent foundation.I did n't argue due to the change of regulations with the stock market crash.I have recently acquired about changing the amount again.I was told they could not prevent me from filling out the application but the result would be the same.I find it aggravating that I spent my life paying bills and maintaining a good credit score ; only to be judged by my house not being on a permanent foundation.I told them I felt I was being discriminated against.They replied it was about equity.My house has bin paid off for several years and is worth more than I am asking for.I believe this is a one size fits all policy and is not fair to the individual.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",PA,182XX,Servicemember,Consent provided,Web,03/23/2017,Closed with explanation,Yes,No,2401871
03/30/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"BAYVIEW LOAN SERVICING, LLC",AZ,852XX,Older American,,Web,03/30/2017,Closed with explanation,Yes,No,2410895
03/21/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,"disputed incorrect information and accounts with experian, after thitry day was told accounts and bankruptcies showing on my report we verified as being mine when asked for proof was told they do not have to give me prooof informed rep i have been a victim of identity theft was told to send in affidavit and police report which i did send in was told under reinvestigation after thirt days went by again was told again accounts have been verfied as being mine again asked for proof some thing with mysignature on it or copy of drivers license said again they dont have to supply me with proof.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,IL,605XX,,Consent provided,Web,03/21/2017,Closed with non-monetary relief,Yes,No,2397046
04/21/2017,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",MN,55439,Older American,N/A,Postal mail,04/25/2017,Closed with explanation,Yes,No,2446753
04/17/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,VA,24212,Older American,N/A,Phone,04/18/2017,Closed with explanation,Yes,No,2439229
03/21/2017,Credit card,,Identity theft / Fraud / Embezzlement,,,,CAPITAL ONE FINANCIAL CORPORATION,FL,32255,,,Web,03/22/2017,Closed with monetary relief,Yes,No,2395796
04/21/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MI,48224,,,Web,04/21/2017,In progress,Yes,No,2446495
04/14/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ENCORE CAPITAL GROUP INC.,TX,770XX,,,Web,04/14/2017,Closed with explanation,Yes,No,2434854
04/18/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,CA,934XX,,,Web,04/18/2017,Closed with explanation,Yes,No,2439707
01/09/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CA,94590,,N/A,Referral,01/14/2013,Closed with explanation,Yes,No,224922
03/04/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,MI,48328,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371574
03/04/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Southwest Credit Systems, L.P.",ME,04069,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371781
03/01/2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,,,AES/PHEAA,,,,N/A,Referral,03/08/2017,Closed with explanation,Yes,No,2367674
03/01/2017,Debt collection,I do not know,Improper contact or sharing of info,Talked to a third party about my debt,,,"Bursey & Associates, P.C.",AZ,85295,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,Yes,2367513
03/05/2017,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt resulted from identity theft,"I 've sent multiple letters to this agency about this not being my account. After being advised by identitytheft.gov I 've completed and sent a fraud affidavit via certified mail. I can see they received it but nothing has changed. See supporting documents. even the USPS tracking.

I am a victim of identity theft and noticed a collection from NCC BUSINESS SERVICES I 've attempted to dispute multiple times however no response on their end. Not sure what else to do. Police department told me to contact the federal trade commision which I wrote a formal complaint against NCC BUSINESS SERVICES in regards to this matter. The FTC also instructed me to complete a id theft affidavit through identity theft.gov. Attached is my document. Thank you",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"NCC Business Services, Inc.",TX,775XX,,Consent provided,Web,03/05/2017,Closed with explanation,Yes,No,2372209
04/18/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,339XX,Servicemember,,Web,04/18/2017,Closed with explanation,Yes,No,2440617
03/04/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Sued w/o proper notification of suit,"I am being sued for Non-Payment, but all payments have been sent on time as agreed, the payment in XXXX was returned said no such address in XXXX error, I immediately mailed payment back, they acknowledge the received on XX/XX/2017, this was only XXXX business days late, then I received letter impending legal action as well for Non-Payment, the received payment pry to sending letter, I feel this legal action is unnecessary and unwarranted, I am continuing to make payments on time as agreed. I was not properly served, I found the Warrant some distance outside my residence, and mailed from Debt Collector at letter date. When I tried to talk to the Debt Collector after receive letter of impending legal action, she would not or could not stop legal action, and was unwilling to compromise or resolve this issue due to XXXX error, and just wanted to add additional fees, the Debt Collector was unprofessional, insulting, and among other statements said I lack common sense. If they are granted a judgment I will have insufficient funds for housing expenses.",,"Results Unlimited, Inc.",VA,224XX,,Consent provided,Web,03/04/2017,Closed with non-monetary relief,No,No,2371864
04/20/2017,Debt collection,Medical,Communication tactics,Used obscene/profane/abusive language,,,TRANSWORLD SYSTEMS INC,MA,01720,,,Web,04/20/2017,Closed with explanation,Yes,No,2445786
04/20/2017,Bank account or service,Checking account,Deposits and withdrawals,,,Company believes it acted appropriately as authorized by contract or law,SCHOOLSFIRST FEDERAL CREDIT UNION,CA,92694,,Consent not provided,Web,04/20/2017,Closed with explanation,Yes,No,2444609
04/18/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,"Rent Recover, LLC",GA,300XX,,,Web,04/18/2017,Untimely response,No,No,2439908
04/15/2017,Credit card,,Billing disputes,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,TX,77407,,Consent not provided,Web,04/15/2017,Closed with explanation,Yes,No,2436789
04/18/2017,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Pinnacle Credit Services, LLC",GA,301XX,,,Web,04/18/2017,Closed with explanation,Yes,No,2439443
04/01/2017,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,"Fidelity National Information Services, Inc. (FNIS)",MN,55406,Servicemember,,Web,04/01/2017,Closed with explanation,Yes,No,2414640
04/19/2017,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CA,921XX,,,Web,04/19/2017,In progress,Yes,No,2442478
04/18/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CA,951XX,,,Web,04/18/2017,Closed with explanation,Yes,No,2439795
03/23/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"On-Site Manager, Inc.",AZ,850XX,,,Web,03/23/2017,Closed with explanation,No,No,2399826
12/21/2012,Credit card,,Advertising and marketing,,,,SYNCHRONY BANK,CA,91108,,N/A,Fax,12/21/2012,Closed with explanation,Yes,No,215434
03/13/2017,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,I have not been contacted about this negative balance. I believe its through Alpine Credit or XXXX. This account was positive before I closed it and I do not understand why its still negative. I would like to get this issue resolved immediately because it is affecting my credit score immensely. I have had no debt collector call me or any mail correspondence delivered to me.,Company disputes the facts presented in the complaint,"Alpine Credit, Inc",AR,729XX,,Consent provided,Web,03/15/2017,Closed with explanation,No,No,2383241
04/18/2017,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,NEW YORK COMMUNITY BANK,TX,762XX,,,Web,04/20/2017,In progress,Yes,No,2440991
04/20/2017,Consumer Loan,Installment loan,Problems when you are unable to pay,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",SC,296XX,,,Web,04/21/2017,In progress,Yes,No,2444625
04/16/2017,Bank account or service,Checking account,"Account opening, closing, or management",,"I submitted a complaint in XX/XX/XXXX regarding a "" delinquent '' US bank line of credit with CFPB. I was rewarded my desired solution in that they were supposed to REMOVE the account from my credit report. What US bank did was mark the account as paid and closed, but what I 'm currently finding out is that it still shows up on my credit report as a delinquent account and it is affecting not only my credit score, but I am not able to refinance my student loans from XXXX school because of it. It 's severely affecting my life once again with an account that was never delinquent and it was declared in my favor back in XX/XX/XXXX, but US bank never did their job. I 'm assuming you can pull up the complaint from XX/XX/XXXX, which is why I 'm sparing you the details of the issue. They should already be on file. The short hand version is that I closed my account with them in XX/XX/XXXX and they failed to close the account, made a new "" rule '' to charge accounts without a minimum balance and started to charge me every month without ever calling me or sending me any bill in the mail, so I was unaware of these accumulating charges with an account I assumed was closed. I never knew of the issue until I tried to get a mortgage loan and my lender found this on my report. They are very wrong in this situation and now they are wrong again and negatively affecting my credit once again.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,WI,532XX,,Consent provided,Web,04/16/2017,Closed with non-monetary relief,Yes,No,2437217
04/12/2017,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,JPMORGAN CHASE & CO.,CA,91913,,N/A,Referral,04/13/2017,Closed with monetary relief,Yes,No,2432049
03/07/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",NJ,07111,,N/A,Phone,03/07/2017,Closed with explanation,Yes,No,2374511
03/31/2017,Other financial service,Money order,Lost or stolen money order,,"I bought a money order from XXXX XXXX to pay a bill. When I found out that the payment had not been credited, I traced the money order and found out it had been stolen and cashed, and that the thief had changed the name of the payor and the payee. I filed a police report and completed all the paperwork XXXX XXXX asked for in order to get the money order replaced. Then XXXX XXXX sent me a letter saying they had filed a claim on my behalf with the Bank of First Deposit ( Bank of America ) and that Bank of America had not responded, so XXXX XXXX was closing their investigation and that I should contact Bank of America. I contacted Bank of America, but they said it had nothing to do with them and that I had to go back to XXXX XXXX. When I did, XXXX XXXX told me I had to go to Bank of America.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,100XX,,Consent provided,Web,04/03/2017,Closed with explanation,Yes,No,2412744
04/18/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",TX,78676,,N/A,Referral,04/18/2017,In progress,Yes,No,2440790
04/20/2017,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,SPEEDY CASH INTERMEDIATE HOLDINGS CORP,NV,89156,,,Web,04/21/2017,Closed with explanation,Yes,No,2444349
10/20/2014,Credit card,,Identity theft / Fraud / Embezzlement,,,,SYNCHRONY BANK,CA,91602,,N/A,Postal mail,10/24/2014,Closed with explanation,Yes,No,1077763
04/20/2017,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,"Navient Solutions, LLC.",SC,294XX,,,Web,04/20/2017,Closed with explanation,Yes,No,2443963
04/19/2017,Credit card,,APR or interest rate,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,10001,,N/A,Postal mail,04/19/2017,Closed with explanation,Yes,No,2443667
03/04/2017,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,ENCORE CAPITAL GROUP INC.,MD,21244,,Consent not provided,Web,03/04/2017,Closed with non-monetary relief,Yes,No,2371786
